CASE#,X,Y,cluster_label
JJ516064,1150444.0,1874338.0,1
JJ441783,1152346.0,1895131.0,0
JJ500530,1169840.0,1905243.0,0
JJ465513,1194469.0,1855724.0,1
JK118090,1180203.0,1865325.0,1
JJ424302,1168320.0,1854177.0,1
JJ397855,1160973.0,1948868.0,0
JK199114,1162807.0,1921592.0,0
JK248528,1176292.0,1903428.0,0
JJ379789,1164405.0,1906715.0,0
JK119167,1140445.0,1867594.0,1
JJ285649,1160905.0,1874110.0,1
JK211024,1137909.0,1917664.0,0
JK123644,1153093.0,1893230.0,0
JJ294072,1176796.0,1903917.0,0
JJ351437,1176389.0,1900278.0,0
JK223509,1166410.0,1851385.0,1
JK128666,1186129.0,1864575.0,1
JJ279326,1177293.0,1905627.0,0
JJ345847,1175044.0,1862506.0,1
JK128615,1180280.0,1841107.0,1
JK121988,1172153.0,1919102.0,0
JK153404,1152759.0,1871224.0,1
JJ490718,1167661.0,1894186.0,0
JK169328,1157523.0,1907346.0,0
JK214474,1168894.0,1891563.0,0
JJ357525,1181195.0,1855762.0,1
JJ335849,1192489.0,1847726.0,1
JK145576,1182884.0,1863418.0,1
JJ462316,1148821.0,1893051.0,0
JJ540231,1177434.0,1894296.0,0
JJ498691,1147110.0,1922557.0,0
JJ320006,1156517.0,1941909.0,0
JJ494593,1180736.0,1836592.0,1
JK101878,1185544.0,1817574.0,1
JK150091,1173398.0,1856915.0,1
JJ485069,1133546.0,1922607.0,0
JJ389516,1177201.0,1841967.0,1
JJ530652,1181505.0,1856512.0,1
JK234173,1146226.0,1918546.0,0
JK179635,1176942.0,1842324.0,1
JJ267012,1161753.0,1944078.0,0
JK206756,1168627.0,1893531.0,0
JJ307419,1180045.0,1861749.0,1
JJ491909,1192920.0,1852209.0,1
JK248276,1186082.0,1858191.0,1
JJ313642,1147198.0,1923299.0,0
JJ503910,1176796.0,1903917.0,0
JJ498327,1172827.0,1835530.0,1
JK166434,1149119.0,1897928.0,0
JK231102,1192964.0,1859500.0,1
JK120221,1173922.0,1860486.0,1
JJ450237,1172333.0,1918484.0,0
JJ474188,1185820.0,1844046.0,1
JJ497737,1127555.0,1925819.0,0
JJ358037,1156491.0,1942681.0,0
JK254895,1173193.0,1903598.0,0
JK112122,1177528.0,1890620.0,0
JJ338954,1165746.0,1851375.0,1
JJ287060,1139430.0,1927395.0,0
JJ357747,1169017.0,1884656.0,0
JJ512974,1171136.0,1848294.0,1
JJ446840,1155024.0,1853614.0,1
JJ310588,1181474.0,1857732.0,1
JJ384624,1150587.0,1869670.0,1
JK157099,1160258.0,1869871.0,1
JJ314523,1170277.0,1924297.0,0
JK194902,1154877.0,1891254.0,0
JJ516654,1170101.0,1900109.0,0
JJ392124,1151202.0,1848394.0,1
JJ387070,1194345.0,1834388.0,1
JK163475,1175884.0,1902584.0,0
JJ457352,1173059.0,1897584.0,0
JJ374982,1174836.0,1853242.0,1
JJ273212,1168307.0,1902392.0,0
JJ360779,1165443.0,1874484.0,1
JJ327794,1167331.0,1874469.0,1
JK162020,1133369.0,1865835.0,1
JJ460850,1173384.0,1923822.0,0
JK211492,1129626.0,1921155.0,0
JK212764,1144130.0,1908300.0,0
JJ274295,1140493.0,1920254.0,0
JJ294581,1178514.0,1860627.0,1
JK176135,1175867.0,1903086.0,0
JJ403845,1147750.0,1889401.0,0
JJ481696,1195093.0,1854417.0,1
JJ288765,1147082.0,1912510.0,0
JK229318,1140283.0,1901717.0,0
JK114089,1191412.0,1859282.0,1
JJ461530,1175671.0,1904764.0,0
JK201622,1154969.0,1868421.0,1
JJ265106,1176327.0,1901797.0,0
JJ324494,1160867.0,1917657.0,0
JJ483062,1127993.0,1916171.0,0
JJ479139,1155749.0,1887581.0,0
JK145479,1176659.0,1899008.0,0
JJ321284,1183147.0,1872548.0,1
JK187517,1142522.0,1898854.0,0
JJ476958,1160731.0,1888579.0,0
JJ323527,1168417.0,1862623.0,1
JK211486,1177170.0,1870046.0,1
JJ327401,1148850.0,1932008.0,0
JJ386246,1158363.0,1889609.0,0
JJ371594,1143595.0,1912190.0,0
JJ310133,1185446.0,1857964.0,1
JJ396183,1162012.0,1902313.0,0
JJ330627,1174220.0,1910988.0,0
JJ374166,1160200.0,1866780.0,1
JJ466586,1165476.0,1900090.0,0
JJ364486,1171351.0,1884320.0,0
JJ271213,1165247.0,1932762.0,0
JJ483808,1163353.0,1905021.0,0
JK247953,1176634.0,1899472.0,0
JJ290329,1137571.0,1921694.0,0
JJ447512,1173164.0,1865770.0,1
JK137552,1167319.0,1866614.0,1
JK180219,1174358.0,1858507.0,1
JK245493,1188863.0,1854602.0,1
JK147708,1173114.0,1837041.0,1
JK230787,1151669.0,1836013.0,1
JJ334649,1185441.0,1832670.0,1
JJ432299,1172306.0,1842269.0,1
JK221192,1162149.0,1909206.0,0
JK122514,1176272.0,1904025.0,0
JJ462230,1182273.0,1852457.0,1
JK195003,1145727.0,1853720.0,1
JJ338388,1165007.0,1924221.0,0
JK125871,1155661.0,1926794.0,0
JK237678,1192692.0,1858995.0,1
JJ416438,1157564.0,1898036.0,0
JJ539712,1157508.0,1861139.0,1
JJ531008,1187898.0,1868845.0,1
JJ450793,1174695.0,1901798.0,0
JK166950,1183718.0,1848450.0,1
JK112273,1160496.0,1908894.0,0
JK190832,1147765.0,1911872.0,0
JK180694,1171138.0,1918113.0,0
JJ347115,1147482.0,1886188.0,0
JJ438900,1148262.0,1893528.0,0
JJ528040,1166959.0,1925110.0,0
JJ415474,1141232.0,1861272.0,1
JK156496,1192562.0,1853391.0,1
JJ264921,1196638.0,1843561.0,1
JK247819,1134085.0,1912952.0,0
JJ536278,1176364.0,1900524.0,0
JJ303766,1196126.0,1856148.0,1
JK252280,1147194.0,1929210.0,0
JJ521138,1130741.0,1913317.0,0
JJ473201,1174188.0,1913264.0,0
JJ473600,1168413.0,1894846.0,0
JJ402563,1176417.0,1899156.0,0
JK186253,1180535.0,1855713.0,1
JJ465798,1194249.0,1852151.0,1
JJ513563,1183979.0,1851242.0,1
JK204709,1147597.0,1889014.0,0
JJ355643,1175416.0,1904883.0,0
JK170261,1161394.0,1896391.0,0
JK194670,1160463.0,1910116.0,0
JJ432769,1163018.0,1891401.0,0
JJ528144,1162240.0,1900336.0,0
JJ430303,1162075.0,1888263.0,0
JJ297478,1176556.0,1860375.0,1
JJ426200,1190933.0,1858322.0,1
JK149032,1177916.0,1875015.0,1
JJ485623,1194539.0,1835588.0,1
JK190208,1168276.0,1930258.0,0
JJ477797,1165416.0,1851414.0,1
JK207743,1176882.0,1897968.0,0
JK127508,1149775.0,1898304.0,0
JJ333810,1165945.0,1860930.0,1
JK119119,1169149.0,1918348.0,0
JJ432158,1182535.0,1850787.0,1
JK203088,1171778.0,1860920.0,1
JJ427801,1178083.0,1868935.0,1
JK235675,1169149.0,1918348.0,0
JJ501406,1194204.0,1854115.0,1
JJ349325,1149595.0,1898051.0,0
JK238207,1148097.0,1911906.0,0
JK160505,1154576.0,1904687.0,0
JJ456919,1181185.0,1832500.0,1
JJ355101,1174377.0,1898747.0,0
JK228071,1175423.0,1904617.0,0
JK166145,1188019.0,1861082.0,1
JJ362297,1167781.0,1939816.0,0
JJ406107,1172491.0,1901698.0,0
JJ420627,1169074.0,1850854.0,1
JJ532904,1182971.0,1851260.0,1
JJ534002,1141274.0,1916883.0,0
JJ288967,1172906.0,1918259.0,0
JJ446362,1199205.0,1846974.0,1
JK219051,1182328.0,1862425.0,1
JK127705,1164177.0,1950345.0,0
JK143292,1184822.0,1856613.0,1
JJ325051,1190664.0,1856957.0,1
JK145738,1158793.0,1885745.0,0
JJ274006,1164850.0,1871939.0,1
JJ310316,1171127.0,1926803.0,0
JJ410061,1166482.0,1915394.0,0
JJ525741,1169616.0,1867319.0,1
JJ349194,1180182.0,1880913.0,1
JJ424185,1173654.0,1884378.0,0
JJ508760,1169894.0,1864350.0,1
JJ408668,1151090.0,1894768.0,0
JJ307765,1182642.0,1851189.0,1
JJ309877,1198058.0,1846884.0,1
JJ513935,1159223.0,1871183.0,1
JJ412169,1145183.0,1895866.0,0
JJ449785,1166329.0,1898255.0,0
JJ487059,1174187.0,1821327.0,1
JJ388199,1183956.0,1851990.0,1
JK243076,1136535.0,1895055.0,0
JJ440054,1140851.0,1905802.0,0
JJ414472,1197792.0,1817144.0,1
JK248207,1153225.0,1905407.0,0
JK197879,1170038.0,1925543.0,0
JJ354025,1152280.0,1851269.0,1
JJ304320,1174427.0,1912756.0,0
JK138603,1164741.0,1863948.0,1
JK155917,1159541.0,1940621.0,0
JK257549,1173951.0,1860487.0,1
JJ429803,1170467.0,1918439.0,0
JJ344581,1200508.0,1836948.0,1
JK159011,1177750.0,1873225.0,1
JK192353,1161626.0,1856687.0,1
JJ529781,1159624.0,1856614.0,1
JJ391329,1163910.0,1869919.0,1
JK200714,1152466.0,1886131.0,0
JJ487261,1158102.0,1863718.0,1
JK222484,1153943.0,1908123.0,0
JJ405765,1141348.0,1934098.0,0
JJ472343,1183356.0,1831503.0,1
JJ269009,1191651.0,1842382.0,1
JJ528589,1173630.0,1914431.0,0
JJ506466,1170394.0,1920533.0,0
JJ388709,1178222.0,1903964.0,0
JJ512629,1140103.0,1911759.0,0
JJ521924,1196573.0,1853797.0,1
JJ482811,1153002.0,1918629.0,0
JJ394165,1180958.0,1864386.0,1
JJ525241,1177436.0,1894240.0,0
JJ405012,1141286.0,1927770.0,0
JK197087,1160241.0,1895304.0,0
JJ288052,1194415.0,1834559.0,1
JK216051,1158383.0,1922267.0,0
JJ392511,1187602.0,1858564.0,1
JK150161,1187320.0,1859536.0,1
JJ539352,1154235.0,1926417.0,0
JJ476906,1190530.0,1854657.0,1
JK198770,1154531.0,1913455.0,0
JK168161,1175260.0,1902727.0,0
JJ305835,1150194.0,1884058.0,0
JJ461893,1165255.0,1910722.0,0
JJ392621,1191247.0,1852646.0,1
JJ293490,1157785.0,1910833.0,0
JJ478531,1184913.0,1818576.0,1
JJ504435,1149263.0,1893540.0,0
JK118103,1167905.0,1901737.0,0
JJ327997,1162924.0,1932884.0,0
JJ393742,1178502.0,1886399.0,0
JJ506455,1152292.0,1892223.0,0
JJ462212,1164982.0,1903321.0,0
JJ283878,1177338.0,1906181.0,0
JJ484171,1155453.0,1918456.0,0
JJ474840,1160867.0,1917657.0,0
JK174624,1167245.0,1869254.0,1
JK160773,1144494.0,1934166.0,0
JK164399,1163452.0,1869672.0,1
JK156702,1176436.0,1898416.0,0
JK182294,1134324.0,1867178.0,1
JK114741,1164501.0,1916926.0,0
JK190854,1179656.0,1873779.0,1
JK208452,1196233.0,1852244.0,1
JJ525685,1156794.0,1897225.0,0
JJ287364,1183715.0,1873807.0,1
JK136275,1173047.0,1863112.0,1
JJ371248,1175887.0,1869033.0,1
JJ522414,1136396.0,1899227.0,0
JK109586,1156875.0,1896561.0,0
JK180639,1140797.0,1899506.0,0
JJ493223,1174787.0,1825681.0,1
JJ384101,1161772.0,1943503.0,0
JJ375402,1178651.0,1864329.0,1
JJ328983,1176550.0,1901291.0,0
JJ263859,1165376.0,1908070.0,0
JK231536,1178554.0,1857977.0,1
JK137805,1177003.0,1899949.0,0
JJ313228,1166400.0,1832167.0,1
JK149835,1169177.0,1932067.0,0
JJ510394,1142803.0,1900514.0,0
JJ519622,1170868.0,1882129.0,0
JJ476493,1140935.0,1927512.0,0
JJ297331,1155125.0,1864639.0,1
JJ264349,1150475.0,1861687.0,1
JJ447395,1142522.0,1897864.0,0
JK224151,1195791.0,1846895.0,1
JK138182,1180646.0,1827313.0,1
JJ417677,1159356.0,1906236.0,0
JJ370461,1173328.0,1820093.0,1
JJ396814,1171473.0,1871028.0,1
JK211899,1162789.0,1900352.0,0
JJ461338,1189861.0,1854749.0,1
JJ415317,1154228.0,1895173.0,0
JJ375951,1180036.0,1893729.0,0
JJ338676,1142229.0,1904270.0,0
JJ390371,1175371.0,1890116.0,0
JJ370411,1180414.0,1884194.0,1
JJ459272,1138204.0,1923373.0,0
